id;name;img_url;price;discount;descriptions;quantity;status
1;monitor 1080p Checking Account;world-class Frozen IB;Highway Ergonomic;37081;Lempira;66592;New York tangible Mississippi
2;Frozen bus;hard drive Robust Networked;Poland;42754;Grocery;10789;Outdoors
3;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account;69478;JSON;62435;modular Refined Squares
4;maroon;EXE projection Fresh;support Gorgeous;22793;synergies copying;86073;Games
5;Iraq Bedfordshire;Concrete 24/7 Directives;sky blue;55810;facilitate Tasty Concrete Chips Exclusive;69630;card Plastic
6;Computers Personal Loan Account Berkshire;Home;Investor Public-key;14489;Berkshire Designer;24205;Bulgarian Lev navigate
7;Re-contextualized;web-enabled invoice withdrawal;bypassing optical;15071;Bedfordshire;69581;HDD
8;Algerian Dinar;firewall;Future-proofed deposit Sausages;69093;synthesize Creative;13752;bricks-and-clicks Concrete Global
9;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;Agent;55829;THX pink even-keeled;70035;programming SCSI drive
10;invoice Unbranded Cheese;New Zealand Dollar Alabama transform;invoice Home Gloves;54873;Cayman Islands Dollar invoice;22426;driver
